Mouse move: X=3438, Y=246
Mouse move: X=3437, Y=247
Mouse move: X=3437, Y=250
Mouse move: X=3443, Y=257
Mouse move: X=3452, Y=264
Mouse move: X=3458, Y=271
Mouse move: X=3465, Y=277
Mouse move: X=3472, Y=282
Mouse move: X=3483, Y=287
Mouse move: X=3493, Y=292
Mouse move: X=3501, Y=298
Mouse move: X=3509, Y=304
Mouse move: X=3516, Y=313
Mouse move: X=3523, Y=322
Mouse move: X=3528, Y=333
Mouse move: X=3529, Y=344
Mouse move: X=3532, Y=351
Mouse move: X=3533, Y=356
Mouse move: X=3533, Y=361
Mouse move: X=3533, Y=363
Mouse move: X=3533, Y=367
Mouse move: X=3533, Y=370
Mouse move: X=3533, Y=373
Mouse move: X=3533, Y=375
Mouse move: X=3533, Y=378
Mouse move: X=3534, Y=380
Mouse move: X=3536, Y=383
Mouse move: X=3539, Y=387
Mouse move: X=3539, Y=388
Mouse move: X=3540, Y=391
Mouse move: X=3540, Y=393
Mouse move: X=3540, Y=396
Mouse move: X=3540, Y=397
Mouse move: X=3540, Y=398
Mouse move: X=3540, Y=399
Mouse move: X=3541, Y=400
Mouse move: X=3542, Y=401
Mouse move: X=3543, Y=401
Mouse move: X=3545, Y=401
Mouse move: X=3546, Y=402
Mouse move: X=3548, Y=405
Mouse move: X=3551, Y=407
Mouse move: X=3553, Y=408
Mouse move: X=3556, Y=410
Mouse move: X=3557, Y=411
Mouse move: X=3558, Y=412
Mouse move: X=3559, Y=414
Mouse move: X=3560, Y=415
Mouse move: X=3561, Y=416
Mouse move: X=3561, Y=417
Mouse move: X=3562, Y=419
Mouse move: X=3562, Y=420
Mouse move: X=3562, Y=421
Mouse move: X=3562, Y=424
Mouse move: X=3562, Y=425
Mouse button press: LEFT
Mouse move: X=3563, Y=426
Mouse move: X=3563, Y=426
Mouse move: X=3563, Y=425
Mouse button release: LEFT
Mouse wheel: DOWN
Mouse wheel: DOWN
Mouse wheel: DOWN
Mouse wheel: DOWN
Mouse move: X=3563, Y=424
Mouse move: X=3562, Y=428
Mouse move: X=3560, Y=435
Mouse move: X=3557, Y=445
Mouse move: X=3553, Y=450
Mouse move: X=3551, Y=458
Mouse move: X=3550, Y=462
Mouse wheel: UP
Mouse move: X=3549, Y=465
Mouse move: X=3549, Y=469
Mouse move: X=3549, Y=472
Mouse move: X=3549, Y=474
Mouse move: X=3549, Y=476
Mouse wheel: UP
Mouse move: X=3549, Y=475
Mouse move: X=3549, Y=474
Mouse move: X=3548, Y=472
Mouse move: X=3547, Y=468
Mouse move: X=3547, Y=465
Mouse move: X=3547, Y=464
Mouse move: X=3547, Y=463
Mouse move: X=3547, Y=462
Mouse move: X=3547, Y=461
Mouse move: X=3546, Y=457
Mouse move: X=3546, Y=456
Mouse move: X=3546, Y=454
Mouse move: X=3546, Y=453
Mouse move: X=3546, Y=450
Mouse move: X=3546, Y=449
Mouse move: X=3546, Y=448
Mouse move: X=3545, Y=447
Mouse move: X=3544, Y=446
Mouse move: X=3543, Y=444
Mouse move: X=3542, Y=435
Mouse move: X=3541, Y=426
Mouse move: X=3539, Y=418
Mouse move: X=3537, Y=413
Mouse move: X=3533, Y=407
Mouse move: X=3531, Y=402
Mouse move: X=3527, Y=395
Mouse move: X=3526, Y=392
Mouse move: X=3524, Y=389
Mouse move: X=3521, Y=385
Mouse move: X=3519, Y=382
Mouse move: X=3517, Y=380
Mouse move: X=3511, Y=378
Mouse move: X=3506, Y=373
Mouse move: X=3501, Y=371
Mouse move: X=3493, Y=367
Mouse move: X=3489, Y=361
Mouse move: X=3481, Y=359
Mouse move: X=3474, Y=354
Mouse move: X=3465, Y=347
Mouse move: X=3456, Y=342
Mouse move: X=3442, Y=334
Mouse move: X=3432, Y=329
Mouse move: X=3420, Y=320
Mouse move: X=3407, Y=314
Mouse move: X=3401, Y=307
Mouse move: X=3393, Y=301
Mouse move: X=3390, Y=298
Mouse move: X=3386, Y=295
Mouse move: X=3385, Y=294
Key press: 105
Key press: 54
Key release: 54
Key release: 105
